"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume"
1,"AAOI","Applied Optoelectronics Inc","Technology","Communication Equipment","USA",1869.43,,29.98,-10.25%,5268996
2,"ABCL","AbCellera Biologics Inc","Healthcare","Biotechnology","Canada",1634.62,,5.47,-1.97%,4648081
3,"ABEO","Abeona Therapeutics Inc","Healthcare","Biotechnology","USA",277.41,8.58,5.41,-1.10%,1349664
4,"ABR","Arbor Realty Trust Inc","Real Estate","REIT - Mortgage","USA",2265.31,13.34,11.78,-0.17%,1632409
5,"ABSI","Absci Corp","Healthcare","Biotechnology","USA",640.71,,4.28,-7.05%,5297618
6,"ACDC","ProFrac Holding Corp","Energy","Oil & Gas Equipment & Services","USA",687.31,,3.80,-3.55%,1520267
7,"ACHC","Acadia Healthcare Company Inc","Healthcare","Medical Care Facilities","USA",2166.45,15.46,23.46,-0.21%,2071231
8,"ACHR","Archer Aviation Inc","Industrials","Aerospace & Defense","USA",7004.99,,10.86,-4.82%,64778534
9,"AEHR","Aehr Test Systems","Technology","Semiconductor Equipment & Materials","USA",710.56,,23.68,-8.64%,1902087
10,"AEO","American Eagle Outfitters Inc","Consumer Cyclical","Apparel Retail","USA",2663.70,15.14,15.73,0.13%,4952366
11,"AESI","Atlas Energy Solutions Inc","Energy","Oil & Gas Equipment & Services","USA",1253.47,77.98,10.13,-2.31%,1802714
12,"AEVA","Aeva Technologies Inc","Technology","Software - Infrastructure","USA",926.59,,16.45,-3.86%,1593856
13,"AGRI","AgriFORCE Growing Systems ltd","Consumer Defensive","Farm Products","Canada",8.78,,3.51,-4.88%,169792
14,"AI","C3.ai Inc","Technology","Software - Infrastructure","USA",2420.64,,17.56,-3.68%,5789776
15,"AIRE","reAlpha Tech Corp","Real Estate","Real Estate Services","USA",64.50,,0.71,-1.92%,326343516
16,"AIRS","Airsculpt Technologies Inc","Healthcare","Medical Care Facilities","USA",639.35,,10.24,4.38%,1275028
17,"ALT","Altimmune Inc","Healthcare","Biotechnology","USA",344.20,,3.90,-3.47%,2698766
18,"AMCX","AMC Networks Inc","Communication Services","Entertainment","USA",326.25,,7.52,1.35%,352282
19,"AMPX","Amprius Technologies Inc","Industrials","Electrical Equipment & Parts","USA",1424.62,,11.39,-6.72%,11894086
20,"ANAB","AnaptysBio Inc","Healthcare","Biotechnology","USA",942.10,,33.65,-1.35%,334246
21,"ANGI","Angi Inc","Communication Services","Internet Content & Information","USA",623.01,11.73,14.05,1.59%,928026
22,"APGE","Apogee Therapeutics Inc","Healthcare","Biotechnology","USA",3558.97,,53.48,-4.28%,501299
23,"APLD","Applied Digital Corporation","Technology","Information Technology Services","USA",8563.98,,30.62,-5.90%,46846434
24,"APLS","Apellis Pharmaceuticals Inc","Healthcare","Biotechnology","USA",3553.80,,28.14,-0.60%,2680890
25,"ARCT","Arcturus Therapeutics Holdings Inc","Healthcare","Biotechnology","USA",313.36,,11.54,-50.17%,15239411
26,"ARQQ","Arqit Quantum Inc","Technology","Software - Infrastructure","United Kingdom",536.45,,35.08,-9.00%,1123297
27,"ARRY","Array Technologies Inc","Technology","Solar","USA",1368.41,,8.96,-0.88%,6279118
28,"ASAN","Asana Inc","Technology","Software - Application","USA",3383.06,,14.32,-2.78%,2719025
29,"ASPI","ASP Isotopes Inc","Basic Materials","Chemicals","USA",832.25,,8.91,-7.38%,11603017
30,"ASTS","AST SpaceMobile Inc","Technology","Communication Equipment","USA",25790.87,,71.35,-9.24%,27581535
31,"ATYR","Atyr Pharma Inc","Healthcare","Biotechnology","USA",94.69,,0.97,-6.18%,7983475
32,"AVBP","ArriVent BioPharma Inc","Healthcare","Biotechnology","USA",750.12,,18.49,-5.62%,222281
33,"AVXL","Anavex Life Sciences Corporation","Healthcare","Biotechnology","USA",803.11,,9.35,0.00%,568623
34,"AXL","American Axle & Manufacturing Holdings Inc","Consumer Cyclical","Auto Parts","USA",733.34,17.95,6.18,2.49%,3960075
35,"BBAI","BigBear.ai Holdings Inc","Technology","Information Technology Services","USA",2885.39,,6.61,-6.64%,148112553
